Clear Date,Product Code,Product Name,Financial Institutions Long,Financial Institutions Short,Managed Money Long,Managed Money Short,Physicals Long,Physicals Short,Others Long,Others Short,Open Interest,Symbol
2023-01-06,CWF,SGX Baltic Capesize Time Charter Average (5TC) Futures,2981.0,2444.0,15850.0,7343.0,46424.0,63095.0,10297.0,2670.0,75552.0,C5TC
2023-01-06,PVF,SGX Baltic Panamax Time Charter Average Futures,2163.0,1182.0,16144.0,6173.0,47468.0,60714.0,12902.0,10608.0,78677.0,P4TC
2023-01-13,CWF,SGX Baltic Capesize Time Charter Average (5TC) Futures,3016.0,2562.0,15891.0,7664.0,49565.0,65853.0,10647.0,3040.0,79119.0,C5TC
2023-01-13,PVF,SGX Baltic Panamax Time Charter Average Futures,2086.0,1122.0,15785.0,6820.0,50556.0,63239.0,14107.0,11353.0,82534.0,P4TC
2023-01-20,CWF,SGX Baltic Capesize Time Charter Average (5TC) Futures,3031.0,2577.0,17429.0,7932.0,52389.0,71082.0,12212.0,3470.0,85061.0,C5TC
2023-01-20,PVF,SGX Baltic Panamax Time Charter Average Futures,2006.0,1032.0,16855.0,7415.0,52741.0,65879.0,13927.0,11203.0,85529.0,P4TC
2023-01-27,CWF,SGX Baltic Capesize Time Charter Average (5TC) Futures,3106.0,2577.0,16936.0,8959.0,54715.0,73298.0,14272.0,4195.0,89029.0,C5TC
2023-01-27,PVF,SGX Baltic Panamax Time Charter Average Futures,2066.0,1007.0,18144.0,7714.0,52902.0,67305.0,14917.0,12003.0,88029.0,P4TC
2023-02-03,CWF,SGX Baltic Capesize Time Charter Average (5TC) Futures,3027.0,2501.0,16558.0,7604.0,52279.0,71156.0,13742.0,4345.0,85606.0,C5TC
2023-02-03,PVF,SGX Baltic Panamax Time Charter Average Futures,2106.0,1037.0,18292.0,6040.0,48538.0,65957.0,14932.0,10834.0,83868.0,P4TC
2023-02-10,CWF,SGX Baltic Capesize Time Charter Average (5TC) Futures,3077.0,2456.0,17313.0,8119.0,54291.0,73580.0,14571.0,5097.0,89252.0,C5TC
2023-02-10,PVF,SGX Baltic Panamax Time Charter Average Futures,2036.0,1017.0,17033.0,8431.0,51714.0,67318.0,17432.0,11449.0,88215.0,P4TC
